# Created at 2018-04-03 09:38:54
# Connection parameters. Layer11:75 Layer12:6 Layer22:10
# Connection Num. Layer11:4 Layer12:10 Layer22:16
# Lowest level starting ID, total switch number, bandwidth
5,18,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,5
1,7249,1856,4
2,-7356,4040,1
3,-12225,3747,2
4,-4314,-2254,6
5,12098,3186,2
6,-4312,-2252,5
7,-4289,-2261,6
8,-4287,-2289,1
9,-4323,-2254,6
10,-4293,-2228,5
11,-12238,3742,1
12,-4307,-2272,6
13,12119,3128,2
14,7252,1861,1
15,7259,1839,1
16,-4405,-2284,2
17,-4325,-2344,4
# links
0,1
0,2
1,3
0,4
0,5
0,13
1,14
1,15
3,11
4,6
4,7
4,8
4,9
4,12
9,6
9,7
10,6
10,7
10,9
12,6
12,7
12,9
12,10
13,5
16,7
16,9
17,6
17,7
17,10
17,12
c
