# Created at 2018-03-19 20:59:58
# Connection parameters. Layer11:750 Layer12: 6 Layer22: 70
# Connection Num. Layer11: 21 Layer12: 166 Layer22: 5417
# Lowest level starting ID, total switch number, bandwidth
21,635,100
# NodeID, x_pos, y_pos, degree
0,12129,3110,15
1,7249,1856,13
2,-7356,4040,5
3,-12225,3747,26
4,-4314,-2254,14
5,10648,-610,4
6,13942,3542,18
7,3735,5545,2
8,723,904,2
9,-9904,1926,1
10,9039,2370,17
11,1325,5230,8
12,12100,1437,11
13,10551,2102,11
14,-7,5130,16
15,221,4851,2
16,10377,1505,5
17,5126,3540,20
18,2858,4101,14
19,1220,4180,3
20,3114,3003,1
21,-4312,-2254,18
22,5122,3545,46
23,-12243,3740,36
24,13943,3532,17
25,5147,3519,35
26,14054,3530,3
27,-13,5135,48
28,-4326,-2258,18
29,9039,2370,27
30,5123,3541,40
31,2863,4100,49
32,-5,5121,44
33,7276,1888,21
34,4957,3834,1
35,-12244,3755,31
36,12134,3105,27
37,13951,3546,19
38,2853,4108,32
39,9035,2367,24
40,5121,3537,42
41,400,4889,4
42,5097,3539,37
43,-11,5123,47
44,-4308,-2260,19
45,-12235,3751,31
46,5145,3530,34
47,5079,3498,28
48,-19,5130,50
49,8985,2375,19
50,9062,2669,3
51,9040,2361,25
52,5099,3523,38
53,12097,1437,27
54,13952,3545,20
55,9053,2357,23
56,-4334,-2262,18
57,-4291,-2262,15
58,-12227,3749,30
59,13926,3545,24
60,3019,3029,6
61,9039,2364,26
62,10559,2113,31
63,5177,3544,38
64,7251,1876,22
65,2867,4102,36
66,7277,1867,20
67,5097,3545,42
68,9129,2443,7
69,7248,1847,24
70,2878,4112,30
71,5195,3597,42
72,2861,4098,32
73,13904,3626,6
74,12103,1434,21
75,25,5136,49
76,9032,2277,10
77,10551,2120,32
78,12094,1392,11
79,9053,2367,23
80,-12236,3596,2
81,1235,4186,16
82,14206,3636,1
83,10558,2125,34
84,12111,1419,20
85,3120,2996,32
86,12202,1248,2
87,13941,3551,16
88,12123,3103,24
89,12104,1445,22
90,14078,3613,7
91,12110,1443,23
92,3130,3009,22
93,1218,4173,18
94,5145,3562,40
95,-4340,-2245,18
96,10519,2057,13
97,10506,2162,18
98,-64,5204,34
99,10537,2099,33
100,-628,4545,2
101,9037,2391,25
102,3122,3018,21
103,12083,1564,7
104,7222,1875,22
105,7247,1862,21
106,-12145,3734,18
107,-4321,-2237,20
108,9033,2366,26
109,2850,4126,32
110,10040,2121,1
111,2750,4261,3
112,7238,1828,18
113,2877,4041,27
114,9053,2372,29
115,10543,2076,28
116,9111,2429,21
117,-12078,3676,1
118,12107,1453,27
119,728,941,14
120,222,4863,25
121,5336,3560,2
122,-111,4611,1
123,5117,3523,40
124,718,937,1
125,3059,3047,23
126,5125,3587,34
127,2889,4275,3
128,3717,5543,12
129,2810,4114,29
130,10566,2123,27
131,33,5114,46
132,2922,2835,2
133,-12226,3758,29
134,91,4848,2
135,137,5129,26
136,10533,2085,29
137,3797,5523,7
138,9593,3738,1
139,2814,4077,35
