# Created at 2018-03-17 17:14:29
# Connection parameters. Layer11:750 Layer12: 250 Layer22: 2000
# Connection Num. Layer11: 22 Layer12: 58 Layer22: 192
# Lowest level starting ID, hostnumber, bandwidth
21,3,100
# NodeID, x_pos, y_pos, degree
0,0,12129,3110,8
1,1,7249,1856,10
2,2,-7356,4040,6
3,3,-12225,3747,9
4,4,-4314,-2254,5
5,5,10648,-610,4
6,6,13942,3542,11
7,7,3735,5545,5
8,8,723,904,5
9,9,-9904,1926,1
10,10,9039,2370,2
11,11,1325,5230,3
12,12,12100,1437,1
13,13,10551,2102,4
14,14,-7,5130,6
15,15,221,4851,6
16,16,10377,1505,2
17,17,5126,3540,3
18,18,2858,4101,1
19,19,1220,4180,2
20,20,3114,3003,8
21,21,12105,3149,8
22,22,717,912,5
23,28,1340,5224,4
24,31,10362,1147,4
25,33,10590,-596,6
26,34,3722,5568,7
27,36,-4335,-2251,4
28,39,13995,3465,6
29,40,3122,3028,6
30,42,7243,1846,5
31,44,3758,5496,6
32,45,10617,1265,2
33,47,1224,4183,7
34,49,704,934,4
35,52,-4284,-2229,2
36,53,10703,-658,5
37,54,10651,-351,4
38,55,3490,3327,8
39,56,10581,2086,6
40,58,-12225,3756,3
41,60,-31,5163,11
42,61,4479,4996,2
43,63,2943,5395,1
44,64,-1,5151,17
45,65,13940,3537,4
46,67,3280,3157,8
47,68,340,4322,7
48,69,738,900,5
49,70,6813,1844,6
50,74,2100,4130,5
51,75,591,814,4
52,76,2570,4502,4
53,77,8013,1496,3
54,78,12111,3118,6
55,79,12132,3115,7
56,80,13947,3535,5
57,81,1321,5227,6
58,82,5181,3639,7
59,83,7231,1865,9
60,84,11062,85,1
61,85,-7,5164,12
62,87,324,4160,5
63,88,3731,5540,8
64,89,13182,2243,1
65,90,10579,2098,3
66,91,201,4853,12
67,92,13942,3542,6
68,93,10374,1496,4
69,94,12303,2828,9
70,96,5271,5118,2
71,97,3231,6805,3
72,98,-11942,3722,3
73,99,10581,2169,3
74,100,11321,288,1
75,101,3129,3009,8
76,102,3122,3013,13
77,103,5943,2106,4
78,104,9014,2356,4
79,105,3825,5618,7
80,106,-33,5181,13
81,107,7221,1808,8
82,108,12728,3407,4
83,109,-6,5163,12
84,110,9143,2549,2
85,111,12132,3111,6
86,112,1933,-1604,2
87,113,7305,1843,8
88,114,3780,3999,5
89,115,-202,5090,7
90,116,207,4846,13
91,117,7275,1854,10
92,118,138,4866,13
93,119,10668,-619,7
94,120,5099,3561,4
# links
0,1
0,2
1,3
0,4
2,5
4,6
3,7
6,8
1,9
2,10
3,11
4,12
2,13
6,14
6,15
2,16
3,17
3,18
3,19
3,20
1,20
6,20
0,21
0,54
0,55
0,69
0,85
1,25
1,30
1,59
1,81
1,87
1,91
2,72
3,40
3,72
4,27
4,35
5,25
5,36
5,93
6,24
6,28
6,45
6,56
6,67
6,81
7,26
7,31
7,63
7,79
8,22
8,34
8,48
8,51
10,78
11,23
11,57
13,39
13,65
13,73
14,41
14,44
14,61
14,80
14,83
15,31
15,66
15,83
15,90
15,92
16,68
17,58
17,94
19,33
20,29
20,38
20,46
20,75
20,76
31,26
32,24
33,23
34,22
35,27
36,25
37,25
38,33
42,29
43,26
44,40
44,41
45,28
46,29
46,38
47,23
47,33
47,38
48,22
48,34
49,28
49,44
50,33
50,46
51,22
51,34
51,48
52,48
53,46
54,21
55,21
55,50
56,28
56,45
57,23
58,27
58,29
58,44
59,30
59,49
59,53
60,37
61,41
61,44
61,57
62,44
62,47
62,61
63,26
63,31
63,44
63,57
64,36
65,39
66,41
66,44
66,47
66,61
66,62
67,21
67,28
67,45
67,55
67,56
68,24
68,39
68,41
69,21
69,28
69,52
69,54
69,55
69,63
70,54
71,25
71,26
71,61
72,40
73,39
73,65
74,32
75,29
75,36
75,38
75,46
75,57
76,29
76,37
76,38
76,44
76,46
76,50
76,58
76,59
77,41
77,46
77,58
78,39
78,59
79,26
79,31
79,38
79,44
79,63
80,31
80,41
80,44
80,50
80,61
80,63
80,66
81,26
81,30
81,49
81,59
82,21
82,54
82,55
82,69
83,33
83,41
83,44
83,52
83,61
83,66
83,80
84,21
84,78
85,21
85,24
85,54
85,55
85,69
86,52
86,76
87,30
87,49
87,53
87,59
87,76
87,81
88,38
88,42
88,44
88,75
88,76
89,41
89,44
89,61
89,66
89,80
89,83
90,22
90,33
90,41
90,44
90,47
90,57
90,61
90,66
90,79
90,80
90,83
91,30
91,49
91,59
91,66
91,76
91,77
91,81
91,87
92,27
92,41
92,44
92,47
92,61
92,62
92,66
92,75
92,80
92,83
92,89
92,90
93,25
93,36
93,37
93,39
93,56
93,80
94,58
94,70
94,91
c
