# Created at 2018-03-17 18:26:09
# Connection parameters. Layer11:750 Layer12: 10 Layer22: 10
# Connection Num. Layer11: 23 Layer12: 281 Layer22: 1282
# Lowest level starting ID, hostnumber, bandwidth
21,3,100
# NodeID, x_pos, y_pos, degree
0,0,12129,3110,25
1,1,7249,1856,14
2,2,-7356,4040,5
3,3,-12225,3747,28
4,4,-4314,-2254,22
5,5,10648,-610,16
6,6,13942,3542,19
7,7,3735,5545,14
8,8,723,904,18
9,9,-9904,1926,1
10,10,9039,2370,12
11,11,1325,5230,9
12,12,12100,1437,17
13,13,10551,2102,15
14,14,-7,5130,19
15,15,221,4851,15
16,16,10377,1505,13
17,17,5126,3540,15
18,18,2858,4101,14
19,19,1220,4180,11
20,20,3114,3003,25
21,21,3105,3001,15
22,22,3742,5550,11
23,24,13948,3539,9
24,25,224,4852,10
25,31,10353,1534,5
26,34,-12187,3743,1
27,37,10546,2094,14
28,49,3734,5549,5
29,63,10552,2093,11
30,69,12095,1436,13
31,70,1309,5228,4
32,80,10653,-613,12
33,85,-4314,-2259,9
34,93,224,4846,4
35,100,3120,3016,9
36,101,1222,4184,9
37,104,12143,3102,6
38,121,13934,3548,9
39,128,10650,-616,10
40,137,2816,4092,1
41,153,10637,-614,14
42,155,12148,3111,11
43,156,4,5121,19
44,157,734,917,16
45,170,3,5121,3
46,172,-4299,-2256,14
47,174,720,917,16
48,181,12122,3111,8
49,183,-12233,3764,6
50,191,12087,3099,2
51,194,23,5169,4
52,199,-9,5131,13
53,205,3005,3147,1
54,210,13938,3539,12
55,211,715,914,21
56,213,5120,3548,5
57,214,3108,2988,15
58,216,3745,5549,12
59,229,12132,3099,11
60,237,3727,5543,7
61,238,-12208,3753,1
62,239,12116,1381,3
63,243,10651,-603,15
64,247,12104,1431,11
65,249,10559,2104,7
66,252,228,5005,2
67,261,2852,4110,10
68,263,3116,3005,12
69,269,10387,1513,7
70,272,10376,1514,9
71,273,9046,2367,9
72,276,12110,1436,12
73,281,12175,3108,3
74,282,3743,5546,15
75,284,5120,3534,10
76,287,12127,3119,15
77,289,-4308,-2266,12
78,291,748,929,7
79,293,12123,3122,10
80,297,3103,3009,15
81,299,1332,5234,4
82,303,-4309,-2269,10
83,312,-12208,3733,4
84,316,732,914,18
85,320,5114,3533,5
86,321,9020,2396,1
87,327,-12225,3742,11
88,330,3763,5496,1
89,332,13932,3541,10
90,334,3144,3001,2
91,337,1308,5190,2
92,338,-15,5114,8
93,347,-4308,-2278,7
94,348,12115,1453,5
95,352,5127,3525,11
96,354,-7,5119,12
97,360,2871,4091,8
98,364,2835,4113,4
99,365,10661,-625,10
100,371,2852,4105,6
101,374,7244,1865,1
102,376,231,4849,7
103,378,10633,-609,13
104,381,-11,5115,14
105,382,3052,2965,2
106,389,2868,4094,7
107,390,3744,5548,11
108,397,10630,-619,13
109,402,12095,3078,1
110,404,5077,3519,2
111,406,3744,5537,11
112,415,13924,3533,8
113,416,1318,5206,4
114,417,12085,3102,1
115,418,2871,4097,5
116,419,5121,3536,15
117,421,1213,4175,3
118,422,-40,5067,3
119,423,12095,1438,12
120,425,-1,5143,10
121,428,2890,4120,2
122,429,1336,5227,4
123,431,10538,2096,8
124,432,4184,5577,1
125,433,5135,3556,8
126,439,210,4821,2
127,441,-12234,3730,1
128,448,239,4856,5
129,450,10558,2097,14
130,452,12130,3117,12
131,454,7256,1860,2
132,456,726,908,20
133,458,3724,5531,9
134,459,-4280,-2236,2
135,465,718,909,17
136,466,2872,4143,1
137,469,-4312,-2246,13
138,474,-12233,3799,3
139,480,2838,4115,8
140,481,12158,3077,1
141,482,-4330,-2265,12
142,484,12118,3154,1
143,493,3815,5678,1
144,495,3634,5612,3
145,501,3091,3012,12
146,505,7253,1895,3
147,506,-4326,-2260,9
148,508,-4318,-2252,18
149,510,11995,1423,1
150,512,1236,4170,2
151,515,-5,5120,13
152,518,3111,3007,17
153,521,7237,1854,4
154,523,-4321,-2286,5
155,524,10547,2098,11
