# Created at 2018-03-18 20:44:23
# Connection parameters. Layer11:750 Layer12: 10 Layer22: 10
# Connection Num. Layer11: 20 Layer12: 7 Layer22: 2
# Lowest level starting ID, hostnumber, bandwidth
21,3,100
# NodeID, x_pos, y_pos, degree
0,0,12129,3110,3
1,1,7249,1856,3
2,2,-7356,4040,5
3,3,-12225,3747,9
4,4,-4314,-2254,5
5,5,10648,-610,1
6,6,13942,3542,4
7,7,3735,5545,1
8,8,723,904,1
9,9,-9904,1926,1
10,10,9039,2370,2
11,11,1325,5230,1
12,12,12100,1437,1
13,13,10551,2102,3
14,14,-7,5130,1
15,15,221,4851,1
16,16,10377,1505,1
17,17,5126,3540,1
18,18,2858,4101,1
19,19,1220,4180,1
20,20,3114,3003,1
21,49,-4298,-2273,1
22,51,10548,2102,3
23,63,10541,2107,1
24,65,-12191,3747,1
25,69,10544,2097,2
26,82,9037,2379,1
27,93,-12219,3747,1
28,112,-4309,-2269,1
# links
0,1
0,2
0,1
0,1
1,3
0,4
2,5
4,6
3,7
6,8
1,9
2,10
3,11
4,12
2,13
6,14
6,15
2,16
3,17
3,18
3,19
3,20
3,24
3,27
4,21
4,28
10,26
13,22
13,25
23,22
25,22
c
