1212,311
724,185
-736,404
-1223,374
-432,-226
1064,-61
1394,354
373,554
72,90
-991,192
903,237
132,523
1210,143
1055,210
-1,513
22,485
1037,150
512,354
285,410
122,418
311,300
1047,216
1212,306
1210,144
1208,328
725,185
260,425
1065,-50
1036,149
-1,513
1393,352
279,410
312,301
1205,301
447,515
131,524
1223,154
1392,355
21,485
313,297
1394,355
-2,511
901,252
704,174
1039,150
1189,137
1220,170
124,417
1076,-70
369,566
133,524
1394,353
132,521
0,512
308,301
1047,143
274,413
286,409
1042,221
374,554
904,237
724,184
1012,-44
902,236
1396,352
21,487
1064,-62
1131,46
1037,142
1398,353
-49,514
-1,503
1062,-61
303,305
134,521
900,238
40,493
514,354
1033,157
1157,204
316,305
723,186
72,93
12,507
1050,211
-3,514
32,418
