69
0,1
0,2
0,3
2,4
0,5
0,6
1,7
4,8
3,9
1,10
7,11
0,12
10,13
11,14
11,15
13,16
7,17
7,18
11,19
0,22
0,26
0,35
1,57
3,27
3,48
4,23
5,20
5,43
6,33
6,62
7,51
7,53
8,32
8,60
10,28
10,30
10,49
10,56
10,65
11,24
11,31
11,63
11,68
12,42
13,36
14,40
14,52
14,66
15,24
15,41
15,47
15,64
15,67
16,29
16,39
16,61
19,45
19,50
19,55
19,58
19,59
20,43
21,47
21,64
22,26
22,39
24,41
24,47
24,64
25,29
25,39
25,61
27,48
28,30
28,49
28,56
28,65
29,39
29,42
29,61
30,49
30,56
31,63
31,68
34,41
34,67
35,57
37,41
37,47
37,64
37,67
38,48
39,61
40,47
40,52
41,47
41,64
44,62
45,50
45,55
45,58
46,61
47,52
47,64
49,56
50,55
50,58
52,67
54,55
55,58
56,65
59,63
63,64
63,68
